LocationCode,LocationName,Traps,TrapNights,,Visit1,Visit2,Visit3,Visit4,Visit5,Visit6,Visit7,Visit8,Visit9,Visit10,Visit11,Visit12,Visit13,Visit14,Visit15,Visit16,Visit17,Visit18
1,Lower 40-mile Cottonwood Spring Wash,20,140,,0,0,*,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,40-mile Wash Ledges,20,60,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Twin Spring,30,90,,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Yellow Rock Springs,30,90,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Yellow Rock Springs Slope,20,60,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,30-2C Barricade Wash,20,60,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,30-2C Boulder Slope,30,90,,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Cottonwood Spring,16,96,,*,0,*,0,*,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Horse Wash at Pahute Mesa Road,20,60,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,PAM 001 Wash,30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,PAM 001 Ridge West,7,42,,0,0,*,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Ammonia Tanks,30,240,,0,0,0,0,*,1,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Nick Adams Cutoff Plot,15-20,124,,*,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,20-02 Road Borrow Area/Wash,20,160,,0,0,0,0,*,1,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Whiterock Spring/Wash,30,360,,0,0,0,0,0,0,0,*,1,*,0,0,NA,NA,NA,NA,NA,NA
30,Tippipah Spring Upland,30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Tippipah Spring Wash,30,360,,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
32,Schooner Wash,30,360,,0,0,0,0,0,0,0,1,0,0,*,1,NA,NA,NA,NA,NA,NA
33,Trail Ridge,30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Buckboard Mesa Road, 20a-113",30,180,,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Camp 17 Pond,30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Well 8 Cave/Wash,20,60,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Rainier Mesa Top, 12 R Road, Sites 1-6",30,145,,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"I17, Rock Valley",30,270,,*,*,0,*,*,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"G16, Little Skull Mountain",30,270,,*,*,0,*,*,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
